NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:

n = 100,000 points
Repeat times    n         c
      1       168300   1623.47
      3       162216   1623.47
      4       158979   1623.47
     13       146415   1623.47
      2       144038   1623.47
     16       143423   1623.47
      3       133486   1623.47
      5       129676   1623.47
      4       124891   1623.47
      2       119106   1623.47
      4       114497   1623.47
      3       113475   1623.47
      1       112866   1623.47
      3       105841   1623.47
      1       105728   1623.47
      1       105452   1623.47
      1       100655   1623.47
      4        91416   1623.47
      4        86991   1623.47
      3        86791   1623.47
      9       516351   1623.47
      3       181538   1623.47
     14       177629   1623.47
      2       167426   1623.47
      2       159399   1623.47
     11       158046   1623.47
      3       157061   1623.47
      1       146515   1623.47
      2       139037   1623.47
      4       132346   1623.47
      3       128835   1623.47
     21       125799   1623.47
      3       125766   1623.47
      2       124408   1623.47
      7       123178   1623.47
      1       114240   1623.47
      1       102134   1623.47
      3        96852   1623.47
      1        96619   1623.47
      1        93811   1623.47
      3        79595   1623.47
      1       471178   1623.47
      1       120629   1623.47
      1       120020   1623.47
      1       114616   1623.47
      1       106755   1623.47
      5       101533   1623.47
      6        94992   1623.47
      1        94823   1623.47
      1        94722   1623.47
      3        91524   1623.47
      8        84779   1623.47
      3       440797   1623.47
      1       412583   1623.47
      8       405464   1623.47
      1       398543   1623.47
      1        87657   1623.47
      2        81943   1623.47
      1       359787   1623.47
      2       342703   1623.47
      1       325374   1623.47
      3       324675   1623.47
      4       322566   1623.47
      2       322326   1623.47
      7       322257   1623.47
      7       321570   1623.47
     11       303997   1623.47
      5       289782   1623.47
      2       287337   1623.47
      3       276981   1623.47
      3       276813   1623.47
      3       269894   1623.47
      1       269009   1623.47
      1       268883   1623.47
      1       246046   1623.47
      3       231216   1623.47
      2       225490   1623.47
      4       214060   1623.47
     11       213875   1623.47
      1       204236   1623.47
      1       180551   1623.47
      5       171349   1623.47
      1       155686   1623.47
      2       154717   1623.47
      3       151294   1623.47
      3       145100   1623.47
      4       142954   1623.47
      3       138833   1623.47
     10       135189   1623.47
      2       133345   1623.47
     11       118596   1623.47
     12       118546   1623.47
      1       107924   1623.47
      1       105795   1623.47
      3        96057   1623.47
      2        94948   1623.47
      2        94220   1623.47
      7        88295   1623.47
      4        86638   1623.47
      1        85553   1623.47
      1        80956   1623.47
      2        79800   1623.47
      3        79727   1623.47
