NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:
Repeat times    n         c
      1       246169   1623.47
      1       246017   1623.47
      1       245865   1623.47
      1       245713   1623.47
      1       245561   1623.47
      1       245409   1623.47
      1       245257   1623.47
      1       245105   1623.47
      1       244954   1623.47
      1       244803   1623.47
      1       244652   1623.47
      1       244501   1623.47
      1       244350   1623.47
      1       244199   1623.47
      1       244048   1623.47
      1       243897   1623.47
      1       243746   1623.47
      1       243595   1623.47
      1       243444   1623.47
      1       243294   1623.47
      1       243144   1623.47
      1       242994   1623.47
      1       242844   1623.47
      1       242694   1623.47
      1       242544   1623.47
      1       242394   1623.47
      1       242244   1623.47
      1       242094   1623.47
      1       241944   1623.47
      1       241794   1623.47
      1       241645   1623.47
      1       241496   1623.47
      1       241347   1623.47
      1       241198   1623.47
      1       241049   1623.47
      1       240900   1623.47
      1       240751   1623.47
      1       240602   1623.47
      1       240453   1623.47
      1       240304   1623.47
      1       240155   1623.47
      1       240007   1623.47
      1       239859   1623.47
      1       239711   1623.47
      1       239563   1623.47
      1       239415   1623.47
      1       239267   1623.47
      1       239119   1623.47
      1       238971   1623.47
      1       238823   1623.47
      1       238675   1623.47
      1       238527   1623.47
      1       238380   1623.47
      1       238233   1623.47
      1       238086   1623.47
      1       237939   1623.47
      1       237792   1623.47
      1       237645   1623.47
      1       237498   1623.47
      1       237351   1623.47
      1       237204   1623.47
      1       237057   1623.47
      1       236910   1623.47
      1       236764   1623.47
      1       236618   1623.47
      1       236472   1623.47
      1       236326   1623.47
      1       236180   1623.47
      1       236034   1623.47
      1       235888   1623.47
      1       235742   1623.47
      1       235596   1623.47
      1       235450   1623.47
      1       235304   1623.47
      1       235159   1623.47
      1       235014   1623.47
      1       234869   1623.47
      1       234724   1623.47
      1       234579   1623.47
      1       234434   1623.47
      1       234289   1623.47
      1       234144   1623.47
      1       233999   1623.47
      1       233854   1623.47
      1       233709   1623.47
      1       233565   1623.47
      1       233421   1623.47
      1       233277   1623.47
      1       233133   1623.47
      1       232989   1623.47
      1       232845   1623.47
      1       232701   1623.47
      1       232557   1623.47
      1       232413   1623.47
      1       232269   1623.47
      1       232125   1623.47
      1       231982   1623.47
      1       231839   1623.47
      1       231696   1623.47
      1       231553   1623.47
      1       231410   1623.47
      1       231267   1623.47
      1       231124   1623.47
      1       230981   1623.47
      1       230838   1623.47
      1       230695   1623.47
      1       230552   1623.47
      1       230409   1623.47
      1       230267   1623.47
      1       230125   1623.47
      1       229983   1623.47
      1       229841   1623.47
      1       229699   1623.47
      1       229557   1623.47
      1       229415   1623.47
      1       229273   1623.47
      1       229131   1623.47
      1       228989   1623.47
      1       228847   1623.47
      1       228706   1623.47
      1       228565   1623.47
      1       228424   1623.47
      1       228283   1623.47
      1       228142   1623.47
      1       228001   1623.47
      1       227860   1623.47
      1       227719   1623.47
      1       227578   1623.47
      1       227437   1623.47
      1       227296   1623.47
      1       227155   1623.47
      1       227015   1623.47
      1       226875   1623.47
      1       226735   1623.47
      1       226595   1623.47
      1       226455   1623.47
      1       226315   1623.47
      1       226175   1623.47
      1       226035   1623.47
      1       225895   1623.47
      1       225755   1623.47
      1       225615   1623.47
      1       225476   1623.47
      1       225337   1623.47
      1       225198   1623.47
      1       225059   1623.47
      1       224920   1623.47
      1       224781   1623.47
      1       224642   1623.47
      1       224503   1623.47
      1       224364   1623.47
      1       224225   1623.47
      1       224086   1623.47
      1       223947   1623.47
      1       223809   1623.47
      1       223671   1623.47
      1       223533   1623.47
      1       223395   1623.47
      1       223257   1623.47
      1       223119   1623.47
      1       222981   1623.47
      1       222843   1623.47
      1       222705   1623.47
      1       222567   1623.47
      1       222429   1623.47
      1       222291   1623.47
      1       222154   1623.47
      1       222017   1623.47
      1       221880   1623.47
      1       221743   1623.47
      1       221606   1623.47
      1       221469   1623.47
      1       221332   1623.47
      1       221195   1623.47
      1       221058   1623.47
      1       220921   1623.47
      1       220784   1623.47
      1       220648   1623.47
      1       220512   1623.47
      1       220376   1623.47
      1       220240   1623.47
      1       220104   1623.47
      1       219968   1623.47
      1       219832   1623.47
      1       219696   1623.47
      1       219560   1623.47
      1       219424   1623.47
      1       219288   1623.47
      1       219152   1623.47
      1       219017   1623.47
      1       218882   1623.47
      1       218747   1623.47
      1       218612   1623.47
      1       218477   1623.47
      1       218342   1623.47
      1       218207   1623.47
      1       218072   1623.47
      1       217937   1623.47
      1       217802   1623.47
      1       217667   1623.47
      1       217532   1623.47
      1       217398   1623.47
      1       217264   1623.47
      1       217130   1623.47
      1       216996   1623.47
      1       216862   1623.47
      1       216728   1623.47
      1       216594   1623.47
      1       216460   1623.47
      1       216326   1623.47
      1       216192   1623.47
      1       216058   1623.47
      1       215924   1623.47
      1       215790   1623.47
      1       215657   1623.47
      1       215524   1623.47
      1       215391   1623.47
      1       215258   1623.47
      1       215125   1623.47
      1       214992   1623.47
      1       214859   1623.47
      1       214726   1623.47
      1       214593   1623.47
      1       214460   1623.47
      1       214327   1623.47
      1       214194   1623.47
      1       214062   1623.47
      1       213930   1623.47
      1       213798   1623.47
      1       213666   1623.47
      1       213534   1623.47
      1       213402   1623.47
      1       213270   1623.47
      1       213138   1623.47
      1       213006   1623.47
      1       212874   1623.47
      1       212742   1623.47
      1       212610   1623.47
      1       212479   1623.47
      1       212348   1623.47
      1       212217   1623.47
      1       212086   1623.47
      1       211955   1623.47
      1       211824   1623.47
      1       211693   1623.47
      1       211562   1623.47
      1       211431   1623.47
      1       211300   1623.47
      1       211169   1623.47
      1       211038   1623.47
      1       210908   1623.47
      1       210778   1623.47
      1       210648   1623.47
      1       210518   1623.47
      1       210388   1623.47
      1       210258   1623.47
      1       210128   1623.47
      1       209998   1623.47
      1       209868   1623.47
      1       209738   1623.47
      1       209608   1623.47
      1       209478   1623.47
      1       209348   1623.47
      1       209219   1623.47
      1       209090   1623.47
      1       208961   1623.47
      1       208832   1623.47
      1       208703   1623.47
      1       208574   1623.47
