NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:
n = 100,000 points
Repeat times    n         c
      1       183630   1623.47
      1       183516   1623.47
      1       183402   1623.47
      1       183289   1623.47
      1       183176   1623.47
      1       183063   1623.47
      1       182950   1623.47
      1       182837   1623.47
      1       182724   1623.47
      1       182611   1623.47
      1       182498   1623.47
      1       182385   1623.47
      1       182272   1623.47
      1       182159   1623.47
      1       182046   1623.47
      1       181933   1623.47
      1       181820   1623.47
      1       181708   1623.47
      1       181596   1623.47
      1       181484   1623.47
      1       181372   1623.47
      1       181260   1623.47
      1       181148   1623.47
      1       181036   1623.47
      1       180924   1623.47
      1       180812   1623.47
      1       180700   1623.47
      1       180588   1623.47
      1       180476   1623.47
      1       180364   1623.47
      1       180252   1623.47
      1       180140   1623.47
      1       180029   1623.47
      1       179918   1623.47
      1       179807   1623.47
      1       179696   1623.47
      1       179585   1623.47
      1       179474   1623.47
      1       179363   1623.47
      1       179252   1623.47
      1       179141   1623.47
      1       179030   1623.47
      1       178919   1623.47
      1       178808   1623.47
      1       178697   1623.47
      1       178586   1623.47
      1       178475   1623.47
      1       178365   1623.47
      1       178255   1623.47
      1       178145   1623.47
      1       178035   1623.47
      1       177925   1623.47
      1       177815   1623.47
      1       177705   1623.47
      1       177595   1623.47
      1       177485   1623.47
      1       177375   1623.47
      1       177265   1623.47
      1       177155   1623.47
      1       177045   1623.47
      1       176935   1623.47
      1       176826   1623.47
      1       176717   1623.47
      1       176608   1623.47
      1       176499   1623.47
      1       176390   1623.47
      1       176281   1623.47
      1       176172   1623.47
      1       176063   1623.47
      1       175954   1623.47
      1       175845   1623.47
      1       175736   1623.47
      1       175627   1623.47
      1       175518   1623.47
      1       175409   1623.47
      1       175300   1623.47
      1       175192   1623.47
      1       175084   1623.47
      1       174976   1623.47
      1       174868   1623.47
      1       174760   1623.47
      1       174652   1623.47
      1       174544   1623.47
      1       174436   1623.47
      1       174328   1623.47
      1       174220   1623.47
      1       174112   1623.47
      1       174004   1623.47
      1       173896   1623.47
      1       173788   1623.47
      1       173680   1623.47
      1       173573   1623.47
      1       173466   1623.47
      1       173359   1623.47
      1       173252   1623.47
      1       173145   1623.47
      1       173038   1623.47
      1       172931   1623.47
      1       172824   1623.47
      1       172717   1623.47
      1       172610   1623.47
      1       172503   1623.47
      1       172396   1623.47
      1       172289   1623.47
      1       172182   1623.47
      1       172075   1623.47
      1       171969   1623.47
      1       171863   1623.47
      1       171757   1623.47
      1       171651   1623.47
      1       171545   1623.47
      1       171439   1623.47
      1       171333   1623.47
      1       171227   1623.47
      1       171121   1623.47
      1       171015   1623.47
      1       170909   1623.47
      1       170803   1623.47
      1       170697   1623.47
      1       170591   1623.47
      1       170485   1623.47
      1       170379   1623.47
      1       170274   1623.47
      1       170169   1623.47
      1       170064   1623.47
      1       169959   1623.47
      1       169854   1623.47
      1       169749   1623.47
      1       169644   1623.47
      1       169539   1623.47
      1       169434   1623.47
      1       169329   1623.47
      1       169224   1623.47
      1       169119   1623.47
      1       169014   1623.47
      1       168909   1623.47
      1       168804   1623.47
      1       168700   1623.47
      1       168596   1623.47
      1       168492   1623.47
      1       168388   1623.47
      1       168284   1623.47
      1       168180   1623.47
      1       168076   1623.47
      1       167972   1623.47
      1       167868   1623.47
      1       167764   1623.47
      1       167660   1623.47
      1       167556   1623.47
      1       167452   1623.47
      1       167348   1623.47
      1       167244   1623.47
      1       167140   1623.47
      1       167037   1623.47
      1       166934   1623.47
      1       166831   1623.47
      1       166728   1623.47
      1       166625   1623.47
      1       166522   1623.47
      1       166419   1623.47
      1       166316   1623.47
      1       166213   1623.47
      1       166110   1623.47
      1       166007   1623.47
      1       165904   1623.47
